id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,number_of_reviews_ltm,type,stay_category
27934,Ratchathewi,13.75983,100.54134,Entire home/apt,1905,3,65,0,popular,short-term
27979,Bang Na,13.66818,100.61674,Private room,1316,1,0,0,not booked,short-term
28745,Bang Kapi,13.75232,100.62402,Private room,800,60,0,0,not booked,long-term
35780,Din Daeng,13.78823,100.57256,Private room,1286,7,2,1,booked,medium-term
941865,Bang Kapi,13.76872,100.63338,Private room,1905,1,0,0,not booked,short-term
1704776,Bang Kho laen,13.69757,100.5288,Entire home/apt,1000,250,19,0,booked,long-term
48736,Rat Burana,13.68556,100.49535,Private room,1558,3,1,0,booked,short-term
1738669,Chatu Chak,13.82925,100.56737,Entire home/apt,1461,1,0,0,not booked,short-term
1744248,Chatu Chak,13.81693,100.56433,Entire home/apt,1558,3,10,0,booked,short-term
952677,Khlong San,13.7204,100.50757,Private room,700,2,4,0,booked,short-term
55681,Bang Rak,13.71934,100.5176,Private room,1150,2,27,0,booked,short-term
1765918,Phaya Thai,13.77486,100.54272,Entire home/apt,1893,15,129,1,popular,long-term
55686,Sathon,13.71802,100.51539,Hotel room,1862,2,208,0,popular,short-term
59221,Din Daeng,13.77941,100.57383,Entire home/apt,910,2,3,0,booked,short-term
959254,Khlong Toei,13.71516,100.56806,Entire home/apt,1400,30,0,0,not booked,long-term
62217,Phaya Thai,13.79152,100.53982,Private room,4156,1,0,0,not booked,short-term
1791481,Khlong Toei,13.70719,100.59936,Entire home/apt,1577,30,78,0,popular,long-term
66046,Chatu Chak,13.82298,100.56484,Entire home/apt,122594,2,9,0,booked,short-term
105042,Khlong Toei,13.73378,100.56303,Entire home/apt,5680,28,148,0,popular,long-term
1793000,Vadhana,13.74668,100.56137,Entire home/apt,5034,21,287,3,popular,long-term
960858,Sai Mai,13.9077,100.64473,Private room,1500,1,0,0,not booked,short-term
113744,Rat Burana,13.68568,100.49231,Private room,1385,30,0,0,not booked,long-term
965722,Vadhana,13.74444,100.57003,Private room,3775,30,3,0,booked,long-term
1808600,Khlong Toei,13.72097,100.57823,Entire home/apt,2078,60,83,0,popular,long-term
118118,Khlong Toei,13.70441,100.59968,Entire home/apt,1732,2,3,0,booked,short-term
1816517,Ratchathewi,13.75351,100.53308,Entire home/apt,2000,27,76,0,popular,long-term
969792,Ratchathewi,13.7547,100.53268,Entire home/apt,3082,1,0,0,not booked,short-term
121410,Bang Kapi,13.76747,100.63287,Private room,1190,1,0,0,not booked,short-term
145343,Lat Krabang,13.721868,100.771713,Private room,1329,1,28,13,booked,short-term
973830,Bangkok Yai,13.73292,100.46413,Private room,2078,1,76,0,popular,short-term
156583,Bang Rak,13.7285,100.52313,Entire home/apt,1176,7,63,2,popular,medium-term
1823321,Wang Thong Lang,13.78938,100.6134,Private room,600,1,0,0,not booked,short-term
159854,Vadhana,13.74293,100.55603,Entire home/apt,1659,3,212,7,popular,short-term
976690,Phaya Thai,13.77931,100.54262,Entire home/apt,1400,15,90,2,popular,long-term
978531,Sathon,13.72291,100.53759,Entire home/apt,5429,2,3,0,booked,short-term
166267,Bang Rak,13.72733,100.52555,Entire home/apt,1843,7,71,5,popular,medium-term
169285,Huai Khwang,13.78118,100.58349,Private room,1316,1,0,0,not booked,short-term
978969,Vadhana,13.73224,100.57803,Entire home/apt,1870,4,5,0,booked,medium-term
1842066,Bang Rak,13.72287,100.51678,Private room,2500,180,15,0,booked,long-term
169514,Vadhana,13.74464,100.55784,Entire home/apt,1732,90,0,0,not booked,long-term
1849029,Vadhana,13.7137,100.59637,Entire home/apt,1300,30,7,0,booked,long-term
1862089,Sathon,13.72062,100.54707,Entire home/apt,1200,1,419,1,popular,short-term
985743,Sathon,13.71803,100.54654,Private room,3500,3,0,0,not booked,short-term
988373,Phasi Charoen,13.73122,100.46228,Entire home/apt,1795,1,95,10,popular,short-term
172332,Bang Sue,13.83148,100.52102,Entire home/apt,1000,3,21,0,booked,short-term
1016487,Chatu Chak,13.82148,100.58326,Private room,350,30,0,0,not booked,long-term
1862331,Sathon,13.72073,100.5469,Entire home/apt,1450,1,268,7,popular,short-term
1862377,Sathon,13.72063,100.54694,Entire home/apt,1200,1,310,9,popular,short-term
185364,Nong Chok,13.779,100.83671,Entire home/apt,8658,1,0,0,not booked,short-term
1887544,Sathon,13.72096,100.52911,Entire home/apt,3757,2,118,12,popular,short-term
1888303,Khlong Toei,13.73782,100.55179,Entire home/apt,1490,5,11,0,booked,medium-term
1019241,Bang Rak,13.72687,100.52725,Entire home/apt,2701,30,104,0,popular,long-term
241416,Phra Khanong,13.70169,100.5977,Private room,2251,3,0,0,not booked,short-term
1026451,Sathon,13.71192,100.51535,Entire home/apt,866,2,472,29,popular,short-term
1028469,Sathon,13.71602,100.52663,Private room,2696,1,0,0,not booked,short-term
1028486,Sathon,13.71798,100.52841,Private room,1736,1,4,0,booked,short-term
1035589,Thawi Watthana,13.79274,100.33377,Private room,1800,2,1,1,booked,short-term
1035640,Thawi Watthana,13.79315,100.33356,Private room,1800,2,0,0,not booked,short-term
1897982,Lat Krabang,13.72141,100.72946,Entire home/apt,1558,1,43,0,popular,short-term
296960,Chatu Chak,13.80926,100.56892,Entire home/apt,900,358,56,0,popular,long-term
1898332,Bang Na,13.67805,100.62451,Private room,400,180,0,0,not booked,long-term
313459,Khlong Toei,13.71513,100.5683,Private room,2226,1,0,0,not booked,short-term
1052180,Bang Kho laen,13.69947,100.52726,Entire home/apt,890,2,29,4,booked,short-term
1926489,Bang Na,13.67998,100.61074,Entire home/apt,1500,29,0,0,not booked,long-term
320014,Khlong Toei,13.7281,100.57318,Entire home/apt,1732,30,67,1,popular,long-term
1933894,Pra Wet,13.70004,100.6787,Entire home/apt,3394,5,3,2,booked,medium-term
